,Product,Percentage_USAimportsfrom_World,Value_EUexports_USA,Percentage_EUto_World,Percentage_Dutch_exports_EU
0,010111,9.165305420689718,79571.459,56.2283691876331,6.532009171781053
1,010119,24.546376343764443,424578.435,42.78072194169347,24.938064035211777
2,010210,1.5450560224242742,53.282,73.29794828356151,
3,010290,24.774072318439856,18.951,45.47555789979325,
4,010310,0.06886618548228662,162.766,74.7282952360382,
5,010391,7.227143984798631,0.054,92.61785037015812,
6,010392,13.28626222107868,,62.305074665350055,
7,010410,0.05046889389092509,,32.4540012731246,
8,010420,,,1.8048169764637165,
9,010511,0.6087620248791502,,51.83352538845295,
10,010519,10.440186928428687,,63.11240668942488,
11,010591,0.04220615011622703,,84.90664780536765,
12,010599,3.571036958189058,,79.6584648539754,
13,010600,17.800474242243176,65159.169,31.970991179459524,49.82631224164323
14,020110,1.3499337404792038,2236.415,84.09520667453991,
15,020120,16.987868098843936,6108.5,68.52889054844428,85.74158958827863
16,020130,20.165987020584573,6966.785,29.31102387288922,64.6798918008809
17,020210,0.2951250123985897,107.90599999999999,27.137802085108238,
18,020220,1.7959892512393147,8808.082,9.558225556590232,89.65986011483544
19,020230,10.640674196908833,10669.04,8.51571956950501,77.33458680443601
20,020311,0.16018726885749507,54.657,93.2637820624275,
21,020312,3.5729907588857155,1464.899,59.8540395659248,
22,020319,5.1002192161352955,2525.4779999999996,71.07897248312348,
23,020321,0.2367623475174258,547.679,44.487787010563736,
24,020322,1.4774036958559433,3165.896,52.69051982083489,
25,020329,3.8284072857623213,227065.842,49.852049643672544,12.213103369374245
26,020410,0.04975427265498231,,32.60350676260275,
27,020421,0.004813563184476254,,39.67233971111849,
28,020422,38.969541488007934,,18.281015134025335,
29,020423,27.329221625792556,,21.18198029628609,
30,020430,14.63381689555823,,13.974839737526127,
31,020441,6.680215245019963,88.077,6.416725073578296,
32,020442,12.735691894102171,185.72,5.633106268148035,0.28914494938617274
33,020443,11.643318418134104,11.667,13.786648251937011,
34,020450,17.40497709708758,,12.546595972646529,
35,020500,0.5325877957068604,,50.396904374148754,
36,020610,11.41138025969908,3855.9539999999997,21.602610542382862,74.701876630271
37,020621,2.99948688126463,430.966,15.150285830333972,4.758147974550196
38,020622,0.12418682716195382,86.932,16.7933711503741,20.203147287535085
39,020629,9.068444574993002,12933.682,11.35535279521708,6.684801744777705
40,020630,2.0242508769626646,,67.98226507280472,
41,020641,0.9428600501022945,83.309,70.98782431700474,
42,020649,1.1307241173362628,10372.050000000001,56.70043092080188,1.0566859974643392
43,020680,0.09629433214519097,,55.84313250598706,
44,020690,8.888701938261168,44.458,13.8875685144666,18.22619101174142
45,020710,0.9027378904849392,15.748999999999999,58.14397022232425,
46,020721,0.15895626956163625,0.252,15.616460800199475,100.0
47,020722,9.63075395365937,0.706,26.586608935939214,97.73371104815864
48,020723,0.8412640201490456,,77.42889784617768,
49,020731,0.7075237835879636,373.268,95.27396803646744,
50,020739,0.7053000513502247,717.6080000000001,82.63456288964012,
51,020741,0.9082575459151065,144.673,18.064039974691145,56.17772493830915
52,020742,4.604171903102501,186.20600000000002,56.690386823181846,99.62460930367442
53,020743,1.0321828370302601,78.83,88.56883620801523,8.076874286439173
54,020810,6.074266344025845,3932.154,80.84562248354548,
55,020890,8.226415846252932,3182.9159999999997,55.35076313197077,
56,020900,1.8269646980401444,333.523,75.1717001947541,
57,021011,3.9059983351519794,14775.757000000001,79.19246979055153,
58,021012,15.56915959880771,2452.232,68.61054189567037,0.027281268656472964
59,021019,8.377353852369678,219464.749,93.58041230391501,
60,021020,4.291922254656208,33.036,49.19776735278173,
61,021090,1.098586829420144,8390.618,31.311147245046612,0.0040878991273348405
62,030110,23.327933875298765,1073.6109999999999,12.899254473482685,4.166872358796622
63,030191,1.9736273291324953,,89.48648588986461,
64,030192,0.7673010350924728,,2.8453002147954933,
65,030193,0.40458636830238565,6.654,23.614607218898758,
66,030199,2.490432203423379,28.311,24.252397744527528,21.507541238387905
67,030211,7.204769173741073,17.718,26.975591445814974,98.63415735410317
68,030212,10.074845344891255,171136.638,29.30489915379586,3.7040285903010437
69,030219,4.5784461324793275,45.269000000000005,36.187182926532344,
70,030221,67.83669042798601,4177.076,9.10088187923385,75.91279162744465
71,030222,0.00857120903050521,3.05,63.25853097712073,100.0
72,030223,6.224190530548087,7571.2,77.79064289479828,21.903938609467456
73,030229,2.1399607171244224,1436.348,62.71705356209527,7.006519311476049
74,030231,25.842862023192616,251.936,69.9525215764862,
75,030232,55.59416100008925,966.397,22.961433647864695,
76,030233,26.87059205818565,9.275,38.18748056628149,
77,030239,28.77010478487609,53247.106,47.78305169791997,
78,030240,0.23939435966048428,0.094,52.832274641063535,
79,030250,2.001820196146559,148.872,42.89089032883729,99.9838787683379
80,030261,0.32294100540413934,224.115,87.2583240255907,
81,030262,2.956466502779748,,39.10906789856175,
82,030263,0.1142119511912768,,50.65074791345858,
83,030264,0.4129136291476842,51.378,25.20559176480252,19.920977850441822
84,030265,0.06614024726289502,6.628,60.760222831299416,
85,030266,4.484608327520898,50.169,37.49076722437488,
86,030269,13.764467475911177,108221.973,44.22263624490114,4.874469438844919
87,030270,1.7790154652428343,10.850999999999999,43.464164821431865,
88,030310,1.1472391931872394,2288.4339999999997,3.1247188054561166,9.617013206411023
89,030321,0.8243087001989626,1.948,12.664705165224428,
90,030322,1.9356748533001886,554.128,20.399198623895604,16.712203678572457
91,030329,1.323182296714682,3.319,8.603802513284984,
92,030331,1.3169108050470772,660.409,34.77855105883938,
