Product,Value_EU,Value_NLD,Percentage
640399,1086637.968,868.628,0.079937203
842230,1081461.62,68968.618,6.377352347
842240,1079500.453,99188.814,9.188399479
843149,1038467.75,38097.485,3.66862476
293500,1035413.702,1347.767,0.130167004
300660,1025728.132,418812.083,40.83071039
890392,1024976.996,85287.632,8.320931331
902140,1018180.72,116.902,0.011481459
842139,1011794.623,43014.75,4.25133214
300432,1004640.817,17185.57,1.710618333
880230,984135.139,2700.493,0.27440266
842951,976803.25,29119.224,2.981073619
902150,939492.075,71.842,0.007646898
210690,937973.274,130474.941,13.91030476
730420,934359.912,100.365,0.010741578
870850,926984.604,3357.031,0.362145281
940360,918659.365,7392.746,0.804732013
842290,908362.226,40889.025,4.501400854
293390,870620.715,1226.756,0.140905905
902780,840481.655,22714.381,2.702543341
721012,835782.49,425248.609,50.8802965
843139,826517.271,63965.25,7.739130475
852110,820671.863,27971.415,3.408355551
853890,818169.305,6042.18,0.738499961
902190,812480.302,5168.789,0.636174069
842940,810597.418,1303.275,0.160779565
300440,805799.42,1139.814,0.14145133
841480,799515.89,7277.752,0.910269838
848190,798534.967,18446.838,2.310085189
841330,796016.804,2297.495,0.288623932
840890,792420.418,330.22,0.041672323
902790,791121.476,26935.805,3.404762204
190590,785568.483,40497.876,5.155231769
848390,766242.819,12835.68,1.675145226
841391,732832.89,19972.112,2.725329645
850423,729321.254,172857.449,23.70113966
870839,715551.202,1328.446,0.185653521
293290,706526.054,430559.864,60.94040858
870510,698573.174,29774.193,4.262143768
903289,694176.728,15408.034,2.219612583
640359,689056.115,1133.452,0.164493424
848310,689049.918,10940.45,1.587758697
940390,685846.208,1792.399,0.261341242
848120,678818.137,5336.422,0.786134269
190530,677678.53,43261.451,6.383771816
853690,673702.085,4306.685,0.639256594
841459,668291.863,9655.763,1.444842222
850152,663424.931,6577.994,0.991520471
852610,654007.069,2943.36,0.450050181
760612,640187.906,4596.968,0.718065424
300210,635441.148,14563.393,2.291855516
930200,634076.637,129.536,0.020429076
842710,633489.252,4583.606,0.723549135
350790,629862.162,14063.692,2.232820583
842129,624254.996,7388.353,1.183547276
902119,617846.654,6357.817,1.029028313
870322,614688.769,18667.169,3.036848881
840991,608677.19,3237.617,0.531910355
870880,608375.855,18564.749,3.051526264
841290,608120.558,13576.49,2.232532649
847790,601990.804,27833.002,4.623492886
847199,598718.202,61656.053,10.29800878
170490,598572.127,41482.169,6.930187212
842839,596701.154,37519.548,6.287828966
300420,584502.579,1034.056,0.176912136
901849,584378.087,4703.488,0.8048707
844390,582791.481,164737.151,28.2669113
842199,574319.055,28980.224,5.04601471
847910,569597.498,1628.04,0.285822885
841350,557319.804,6550.094,1.175284631
300630,557153.575,8693.215,1.560290625
900130,554819.224,3237.177,0.583465183
841370,547974.998,19125.354,3.490187339
850300,546562.046,15862.751,2.90227818
401120,545677.932,408.217,0.074809146
220110,541158.217,1177.236,0.217540077
903190,539741.97,52843.617,9.790533243
940190,539667.596,4940.161,0.915408121
843390,534194.213,40819.819,7.641381731
853650,528651.371,5142.837,0.97282203
852390,525828.324,19511.032,3.710532718
220210,525400.146,7775.016,1.479827529
711011,524405.703,,
854140,522762.879,6487.011,1.240908883
940161,511548.973,6703.353,1.310402983
293339,511246.781,541.623,0.105941596
903140,508380.176,19826.205,3.899877677
842952,506817.726,12895.084,2.544323795
190219,503973.326,1925.985,0.382160107
902290,503002.834,28188.584,5.604060672
940350,501823.214,4847.834,0.966044189
560300,498869.924,38224.854,7.662288737
854441,492131.111,20023.583,4.068749679
481011,491881.03,4047.207,0.82280201
420222,491537.295,384.058,0.078134051
847982,490172.032,9950.897,2.030082573
853669,489086.252,4928.147,1.007623293
870431,489070.612,1.29,0.000263766
970300,483410.323,12636.423,2.614015961
901320,482573.922,14183.349,2.939103908
841360,479741.173,7145.655,1.489481287
481091,475865.703,330.701,0.069494607
841989,472108.588,25781.517,5.460929467
870410,471494.167,1675.922,0.355449148
841950,469707.986,10007.997,2.130684872
731815,463220.466,10859.679,2.344386701
180690,455947.786,27081.535,5.939613226
901832,453807.173,1969.585,0.434013633
871150,449435.75,227.26,0.050565626
841990,446045.471,38816.988,8.702473296
841221,444627.194,20461.814,4.602015863
880320,442089.297,42724.257,9.664169047
841490,441193.357,8946.642,2.027827903
854129,440024.233,861.759,0.195843532
902750,438994.808,23102.316,5.2625488
